"Disclaimer - Users of this site acknowledge that the information contained in these files is a guide for informational purposes only, and is not to be considered as a substitute for the professional judgment of the physician, pharmacist, or any other health care professional providing services to a member, or to contradict any applicable laws and procedures.",,,,,,,,,,,,,,,,,,,,
AHFS CODE,AHFS DESCRIPTION,CHEMICAL NAME,DOSAGE FORM,STRENGTH,ITEM NAME,DIN,MANUFACTURER,AB,BC,MB,NB,NF,NS,NT,NU,ON,PE,QC,SK,YT
04:00.00,ANTIHISTAMINE DRUGS,CHLORPHENIRAMINE MALEATE,TAB,4MG,NOVOPHENIRAM 4MG,00021288,TEP,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DIPHENHYDRAMINE HCL,CAP,25MG,ALLERGY FORMULA 25MG CAP,02229492,VTH,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DIPHENHYDRAMINE HCL,CAP,25MG,ALLERNIX 25MG CAP,02097583,TEP,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DIPHENHYDRAMINE HCL,CAP,25MG,BENADRYL 25MG CAP,02017849,KIM,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DIPHENHYDRAMINE HCL,CAP,25MG,PMS-DIPHENHYDRAMINE 25MG CAP,00757683,PMS,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DIPHENHYDRAMINE HCL,CAP,50MG,PMS-DIPHENHYDRAMINE 50MG CAP,00757691,PMS,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DIPHENHYDRAMINE HCL,CAPL,50MG,ALLERNIX 50MG CAPL.,02097575,TEP,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DIPHENHYDRAMINE HCL,INJ,50MG/ML,DIPHENHYDRAMINE 50MG/ML INJ,00596612,SDZ,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DIPHENHYDRAMINE HCL,INJ,50MG/ML,DIPHENIST 50MG/ML INJ,02219336,OMG,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DIPHENHYDRAMINE HCL,INJ,50MG/ML,PMS-DIPHENHYDRAMINE 50MG/ML,00878200,PMS,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DIPHENHYDRAMINE HCL,O/L,12.5MG/5ML,ALLERGY 12.5MG/5ML O/L,00833266,TAN,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DIPHENHYDRAMINE HCL,O/L,12.5MG/5ML,BENADRYL 12.5MG/5ML ELIX,02019736,KIM,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
04:00.00,ANTIHISTAMINE DRUGS,DIPHENHYDRAMINE HCL,O/L,12.5MG/5ML,JAMP-DIPHENHYDRAMINE 12.5MG/5,02298503,JAP,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit,Open Benefit
